,translations_google,words
150,помітний,conspicuous
151,згори,aboveboard
152,доручення,errands
153,смутно,slovenly
154,млявий,sluggish
155,темп,pace
156,clam,clam
157,дефіцит,deficiency
158,смуток,despondency
159,мхати,to mumble
160,вищий,supreme
161,ти сам,thyself
162,адамантін,adamantine
163,кокетка,coquette
164,владний,overbearing
165,фаршировані сорочки,stuffed shirts
166,понести,to incur
167,бути збитим,to be whipped
168,жадати,to crave
169,хвалити,praise
170,збудити,to stir up
171,земельна ділянка,acreage
172,ввічливий (сервіс),courteous (service)
173,хафф,huff
174,відповідний,pertinent
175,dimes,dimes
176,запросити,to solicit
177,передбачення,foresight
178,назад,backward
179,нерозумний,uncouth
180,сніговий ряд,skid row
181,stumblebums,stumblebums
182,стиснута,cramped
183,сантехніка,plumbing
184,засмутити,to foul up
185,заміський будинок,suburban home
186,додаткові пільги,fringe benefits
187,спад,slump
188,медичний працівник,a meddler
189,потиснути,to shrug off
190,божевільний,lousy
191,флоп,a flop
192,перекласти,to put across
193,перемир'я,a truce
194,боєприпаси,ammunition
195,порочний,vicious
196,apt,apt
197,заглушити,to fizzle out
198,розробити,elaborate
199,підірвати,to undermine
200,видати рожевий ковзання,to issue a pink slip
201,в поспіху робити щось,in one's haste to do smth
202,заїкатися,to stutter
203,переймаючись,stammering
204,знецінення,impairment
205,тривіальність, a triviality
206,спокій,tranquillity
207,закріплений,impounded
208,ворога,feud
209,занурюватися,to submerge
210,дорізати,to chisel
211,рахунок рахунок,expence account
212,скорочення,retrenchment
213,бути заклопотаним,to be preoccupied
214,помилка,fallacy
215,придумати,to devise
216,бути здивованим,to be bewildered
217,хірургічне,surgical
218,випадкові помилки,incidentals
219,рецептивний,receptive
220,замочити,to soak up
221,мамонта,mammoth
222,розробити,eleborate
223,поговорити,to jot down
224,сезон слабкості,a slack season
225,працюють дружини,working wives
226,перевантаження,overload
227,виверти,to wiggle out
228,повзати,to creep in
229,ярлики,shortcuts
230,проповідувати,to preach
231,іскритися,to spark
232,клапан,valve
233,обід,luncheon
234,зношений,worn-out
235,саджанці,seedlings
236,корисний,wholesome
237,збруя,harness
238,буфер обміну,a clipboard
239,огородити,to fence in
240,схоже на,akin to
241,лазівка,loophole
242,нещадно,grudgingly
243,перегнати,to distil
244,нижче,inferior 
245,шпон,veneer
246,блеф,bluff
247,гострий,sharp
248,мертвий набір,dead  set
249,дон,to don
250,бути введено в оману,to be misled
251,люб'язно,courtesy
252,оцінка,appraisal
253,одяг,garment
254,просунути вперед,to propel forward
255,точка-чорна,point-black
256,промивання мізків,brainwashing
257,незмінно,invariably
258,приречувати,to doom
259,на м'яч,on the ball
260,приниження,belittling
261,манерам,mannerisms
262,фізична витривалість,physical stamina
263,на тил,to rear
264,тривалий час,prolonged
265,відновлювати,recondition
266,супресивний,suppressive
267,невігластво,ignorance
268,безліч людей,multitude
269,бути бомбардованим,to be bombarded
270,переконати,to convince
271,безвихідь,dead-ended
272,рут,rut
273,до килимів,to rug
274,вибити,to knock out
275,мимоволі,uwittingly
276,кульки,marbles
277,до приятеля,to buddy
278,долар,buck
279,вибити,to siphone off
280,крейда,to ditch
281,на світанку на кого-л,to dawn on smb
282,перетворити,to convert
283,чернетка-чоловік,draft-man
284,поїхати кого-л,to trip smb
285,лункхед,lunkhead
286,висміювати,to deride
287,до разів,to jeer
288,середній,midst
289,прислів'я,proverbial
290,завантажити вниз,to load down
291,смиренно,to humble
292,мріє,dreary
293,внутрішній дворик,patio
294,переїхати,to drive over
295,кабіна лихоманка,cabin fever
296,Нокдаун,knock-down
297,обмежити,to confine
298,циркулювати,to circulate
299,соціальна орбіта,social orbit
300,прилад,appliance
301,ресторатор,a restaurateur
302,витончений,subtle
303,твердо,fest
304,носити на,to bear on
305,тісно,intimately
306,бити,to bat
307,передувати,to precede
308,граната,grenade
309,відчайдушний,offbeat
310,гараж на переулці,an alley garage
311,жирний,greasy
312,клієнтура,clientele
313,скорочення курсу,cut-rate
314,книжковий,bookful
315,зневажати,to despise
316,зануритися,to plunge
317,перевертання,inflection
318,хрюкати,to grunt
319,стогнати,to moan
320,стогнати,to groan
321,непристойний,uncanny
322,визначити,to spot
323,зв'язок,linkage
324,другокурсник,a sophomore
325,зареєструватися,to enroll in
326,патетично,pahetically
327,прохід,aisle
328,змити,to doze off
329,фарс,farce
330,фонд оплати праці,payroll
331,забити, to pitch in
332,копатися в щось,to dig into smth
333,шанси,odds
334,джмель,bumblebee
335,необов'язковість,nonnecessity
336,закрити,to close out
337,ознайомитись,to familiarize
338,наклеєний,pasted-on
339,гумовий,rubbery
340,смити,gleep
341,поглинання,uptake
342,проповідь,a sermon
343,сила,vigor
344,травлення,digestion
345,вони думають,to misle
346,пройти,to pass on
347,крокувати,stride
348,вигідно,favorably
349,пройти разом,to pass along
350,надмірно,overly
351,максимальна,maxim
352,подумати над,to ponder on
353,голод,hunger
354,скрутне становище,predicament
355,слонова кістка,ivory-tower
356,помилка,blunder
357,гріх,a grump
358,бордюр,a curb
359,люб'язно,courtesy
360,п'ятдесятників,fiftyish
361,ось ось,lo and behold
362,глибоко вниз,deep-down
363,бути призначеним для,to be slated for
364,хвалити,praise
365,нахабний,shrewd
366,свинячи,to hog
367,передати,to convey
368,обурення,resentment
369,цілий серце,wholehearted
370,розтратити,to squander
371,дорівнювати кого-л,to level with smb
372,потягнути,to trot off
373,замкнути,to cap off
374,проповідник,preacher
375,назад,backward
376,збити,to harvest
377,газу-до,gas-up
378,вітрове скло,windshield
379,тривога,an attendant
380,пильний,dusty
381,сітка,netting
382,може,gall
383,виправдати,to justify
384,порода,breed
385,перемога,bandwagon
386,долото,chisel
387,самоскид,tipper
388,розмариття,a smudge
389,заплатити,to set off
390,перешкода,a hurdle
391,теплий,lukewarm
392,підтягнути,to pull up
393,нот,notch
394,вихідний,outgoing
395,деформація,strain
396,рубати,to ruffle
397,царапини,scratchy
398,скарги,grievance
399,хабар,a bribe
400,поспішати,to hasten
401,випий,booze
402,презирство,a contempt
403,послідовний,consecutive
404,міський,urbane
405,боязкий,timid
406,задиратись чим-л,to heck with smth
407,бути налаштованим на,to be tuned to
408,мчить до, rushing to
409,скласти деталі,to itemize
410,відштовхнути,to backfire
411,нудбікальний,numbskull
412,гладко звучать,smooth-sounding
413,у від'їзді,out-of-town
414,свинячий,hog
415,заглушити,to sulk
416,хафф,a huff
417,берити,to berate
418,невдача,a setback
419,пройти через,to follow through
420,відкласти,to put off
421,в прізвисько часу,in the nick of time
422,обумовленість,stipulation
423,ліквідувати, to eliminate
424,жати,to reap
425,галочка,a hitch
426,невибагливий,unpretensious
427,обтяжувати,to encumber
428,запалити,to ignite
429,ув'язнення,confinement
430,розрізати вільно,to cut loose
431,Об’їзд,detour
432,помилка,a blunder
433,кладовище,a graveyard
434,Післяобідній чай,to shun
435,переслідувати,to haunt
436,дурниця,a hunch
437,журналіст,newscaster
438,просити,to perspire
439,до каракулі,to doodle
440,освоїти,to master
441,обговорення,deliberation
442,роздати,to dispense
443,укладання,stacking
444,ультраманія,ultrafancy
445,звукоізоляція,soundproof
446,судом,to cramp
447,гуляти,to roam
448,бушель,bushel
449,проштовхнути,to push through
450,кронштейн,bracket
451,бик,bull
452,до хрестового походу,to crusade
453,стоячи,stand-still
454,бобра,beaver
455,битися,to buck 
456,бічна сторона,sideline
457,затримати,to hold off
458,вилікувати,to cure
459,захопити,to seize
460,скайд,skid
461,жолоби,gutters
462,збити,whipped
463,вигнаний,outcast
464,спуститися разом,to plod along
465,трущоб,slum
466,збити,to knock down
467,з,con
468,фунт,to pound
469,невдача,setback
470,зондити,to probe
471,спасти від чого-небудь,to salvage smth from
472,войовничий,belligerent
473,жорсткий,rigid
474,шляхи,avenues
475,підірваний,blasted
476,притиснути до,to snip at
477,болить,sore
478,флункінг,flunking
479,перелом,a fracture
480,оцінити,to appraise
481,бути лизати,to be licked
482,купатися кого-л,to coodle smb
483,відступити,to fall back
484,багаторічна,perennial
485,літературно,literary
486,натякнути,to imply
487,ковзати після чого-л,to slip after smth
488,свердлити,to drill
489,бульдог,bulldog
490,магнітний,magnetic
491,відступити,to back off
492,водяний шланг,water hose
493,галстук,a snag
494,маскувати,disguise
495,дитяча місяць,baby moon
496,туманний,hazy
497,вимірювати,to gauge
498,кар'єри,careerwise
499,балаканина,jarred
500,заслуга,merit
501,сумнівний,dubious
502,родовід,pedigree
503,застрягти,to stuck up
504,креслення,a blueprint
505,dimestores,dimestores
506,чистий,sheer
507,гек,heck
508,батьківський,parental
509,zip,zip
510,недуга,an ailment
511,укорінений,entrenched
512,отже,hence
513,неясний,vague
514,до камбали,to flounder
515,рутти,rutty
516,розв'язати,to unleash
517,забити,to bog down
518,довговічність,longevity
519,спадковість,heredity
520,піти,to pitch
521,засмучений,grump
522,потиснути,to stave off
523,витягнути,to bear out
524,калікою,crippled
525,мусон,moonsoon
526,блістер,blister
527,підстригти,to hooble
528,хребет,ridge
529,відмовитися від,to relinquish
530,до загальної кількості,to total
531,проповідь,sermon
532,фальшивий,phony
533,добре впорядкований,well-poised
534,рушницю,to gun
535,крокувати,stride
536,затримати,to stash away
537,триматися в курсі,to keep abreast
538,формувати,to mold
539,обід,a luncheon
540,кий,cue
541,підсумок,a recap
542,тягнути,to pull 
543,поштовх до,to push for
544,присудити,to confer
545,вищий,supreme
546,дурний,wacky
547,смилості,uppity
548,на флопе,to flop
549,ображати,to insult
550,прострочений,overdue
551,запобіжник,a fuse
552,до ковдру,to blanket
553,відкинутий,overruled
554,тиран,a tyrant
555,збігатися,to coincide
556,вміння,an aptitude
557,чудово,magnificently
558,звичайний,conventional
559,авторитетний,reputable
560,Професійна,vocational
561,скинути на,to dump on
562,скремблер,a scrambler
563,оббивка,upholstery
564,слабкий,weakling
565,лак,lacquer
566,сплеск,to splash
567,погладжувати,to stagger
568,лагідний,meek
569,вилка,a plug
570,повалений,overthrown
571,перевищити,to outnumber
572,світогляд,an outlook
573,хлопець,facet
574,для ремонту,to refigure
575,переглядати,to revise
576,розібрати,to map out
577,Спітбол,a spitball
578,правопорушник,a delinquent
579,енергійний,vigorous
580,придушений,pent-up
581,безнадійний,lackadaisical
582,потурати,to connive
583,млявий,sluggish
584,чотиривірш,quatrain
585,присудити,to confer
586,самотність,solitude
587,заглушити,to black out
588,На краю,on the verge
589,перемішування,stirring
590,відволікання,distraction
591,копія,carbon copy
592,спокушати,to tempt
593,знищити,to drive down
594,на догану,to reprimand
595,повзати,to creep up
596,на забій,to slaughter
597,шлюбний,marital
598,ворога,feud
599,Увімкнути,to switch on
