140,dismissal,відмова від думки,the act of refusing to consider an idea or opinion,65
141,repercussions,наслідки,"the effects that an action or event has on something, especially badeffects",65
142,standpoint,точка зору,a particular way of thinking about a situation or problem,66
143,to preach,говорити промову,"to try to persuade people to believe or support something, often in an annoying way",66
144,sermon,"проповідь, промова",a religious speech given by a priest in church,66
145,a paratrooper,парашютист,a soldier who is trained to be dropped from an aircraft using aparachute,66
146,precursor,передвісник,something that happens or exists before something else andinfluences its development,68
147,courtesy,люб'язність," behaviour that is polite and shows respect, or a polite actionor remark",68
148,to slouch,сутулитись,"to stand, sit, or walk with your shoulders forward so that your bodyis not straight",68
149,to banish,позбуватись,to make yourself stop thinking about something or feeling aparticular way,69
150,to scramble,боротись за щось, to compete with other people for something which there is very little of,69
151,conspicuous,показний,standing out so as to be clearly visible.,69
152,aboveboard,відвертий,"easily seen, honest, not trying to deceive",70
153,errands,доручення,a short journey in order to buy or do something for someone,70
154,slovenly,неохайний,(especially of a person or their appearance) messy and dirty.,70
155,sluggish,"млявий, інертний",slow-moving or inactive.,70
156,pace,хода,"consistent and continuous speed in walking, running, or moving.",71
157,clam,нетовариська людина,a shy or withdrawn person.,71
158,deficiency,нехватка,a situation in which you do not have enough of something,72
159,despondency,"зневіра, пригніченість",unhappy and having no enthusiasm,73
160,to mumble,бурмотіти,to speak too quietly and not clearly enough for someone tounderstand you,73
161,supreme,найвищий,very great,74
162,thyself,"себе, самі","yourself: the reflexive form or strong form of thou, used whenspeaking to one person",77
163,adamantine,непохитний,extremely determined and strong or unwilling to change,77
164,coquette,кокетка,"a woman who likes to attract attention by behaving as if she issexually interested in people, in a pleasant but not serious way",77
165,overbearing,владний,trying to have too much control over other people,78
166,stuffed shirts,"нудна людина, консервативна",a boring person who always behaves in a very correct way,78
167,to incur,накликати на себе (витрати),to experience something unpleasant as a result of something you have done,79
168,to be whipped,бути переможеними,to defeat,79
169,to crave,дуже хотіти,to want something very much,82
170,praise,хвалити,"to say that you admire someone or something, or that they are very good",82
171,to stir up,викликати спогади,"If something stirs up memories, it makes you rememberevents in the past.",83
172,acreage,територія,an area of land measured in acres:,84
173,courteous (service),"ввічливий, любязний",polite and showing respect,84
174,huff,"пихтіти, тяжко дихати","to breathe loudly, especially because you have beenexercising",84
175,pertinent,той що відноситься до справи,relating directly to a subject,85
176,dimes,монета в 10 центів,a US or Canadian coin with a value of 10 cents,85
177,to solicit,просити,"to ask someone for money, information, or help",86
178,foresight,передбачливість,the ability to know or judge what will happen or what you will need in the future,86
179,backward,відсталий,less developed or slower to develop than normal,87
180,uncouth,грубий,"behaving in a rude, unpleasant way",87
181,skid row,місто пияк,a very poor area of a town where there are a lot of people who drink too much alcohol,87
182,stumblebums,"невдаха, недотепа",a clumsy or inept person.,87
183,cramped,тісний,"A cramped room, building, etc is unpleasant because it is not bigenough.",87
184,plumbing,водопровід,the water pipes in a building,88
185,to foul up,"зіпсувати, зламатись",to spoil something completely,88
186,suburban home,заміський будинок,an area where people live outside the centre of a city,88
187,fringe benefits,додаткові прибуток ,something extra that you get from your employer in addition tomoney,90
188,slump,"спад інтересу, криза","a sudden severe or prolonged fall in the price, value, or amount of something",90
189,a meddler,неспокійна людина,an officious annoying person who interferes with others,90
190,to shrug off,не звертати уваги,minimize the importance of,91
191,lousy,божевільний,very bad,91
192,a flop,невдача,a complete failure,92
193,to put across,пояснювати,to express your ideas clearly and effectively so that people can see what you are really like,92
194,a truce,перемир'я,a state of peace agreed to between opponents so they can discuss peace terms,93
195,ammunition,зброя(тут: слова),information that can be used to attack or defend a claim or argument or viewpoint,93
196,vicious,злий,marked by deep ill will; deliberately harmful,93
197,apt,схильний,having a tendency to do something.,93
198,to fizzle out,видихатися,end weakly,93
199,elaborate,,,94
200,to undermine,,,94
201,to issue a pink slip,,,94
202,in one's haste to do smth,,,94
203,to stutter,,,94
204,stammering,,,95
205,impairment,,,95
206, a triviality,,,95
207,tranquillity,,,96
208,impounded,,,96
209,feud,,,96
210,to submerge,,,97
211,to chisel,,,97
212,expence account,,,97
213,retrenchment,,,98
214,to be preoccupied,,,98
215,fallacy,,,100
216,to devise,,,100
217,to be bewildered,,,101
218,surgical,,,102
219,incidentals,,,104
220,receptive,,,108
221,to soak up,,,108
222,mammoth,,,109
223,eleborate,,,110
224,to jot down,,,110
225,a slack season,,,110
226,working wives,,,112
227,overload,,,113
228,to wiggle out,,,113
229,to creep in,,,114
230,shortcuts,,,115
231,to preach,,,116
232,to spark,,,116
233,valve,,,118
234,luncheon,,,120
235,worn-out,,,121
236,seedlings,,,121
237,wholesome,,,121
238,harness,,,122
239,a clipboard,,,123
240,to fence in,,,123
241,akin to,,,123
242,loophole,,,123
243,grudgingly,,,125
244,to distil,,,125
245,inferior ,,,125
246,veneer,,,126
247,bluff,,,126
248,sharp,,,128
249,dead  set,,,129
250,to don,,,129
251,to be misled,,,129
252,courtesy,,,130
253,appraisal,,,130
254,garment,,,131
255,to propel forward,,,132
256,point-black,,,132
257,brainwashing,,,134
258,invariably,,,134
259,to doom,,,134
260,on the ball,,,136
261,belittling,,,136
262,mannerisms,,,137
263,physical stamina,,,146
264,to rear,,,147
265,prolonged,,,147
266,recondition,,,148
267,suppressive,,,148
268,ignorance,,,148
269,multitude,,,148
270,to be bombarded,,,148
271,to convince,,,149
272,dead-ended,,,149
273,rut,,,149
274,to rug,,,149
275,to knock out,,,150
276,uwittingly,,,150
277,marbles,,,151
278,to buddy,,,151
279,buck,,,152
280,to siphone off,,,152
281,to ditch,,,152
282,to dawn on smb,,,152
283,to convert,,,153
284,draft-man,,,153
285,to trip smb,,,153
286,lunkhead,,,155
287,to deride,,,155
288,to jeer,,,155
289,midst,,,155
290,proverbial,,,155
291,to load down,,,155
292,to humble,,,156
293,dreary,,,157
294,patio,,,157
295,to drive over,,,158
296,cabin fever,,,158
297,knock-down,,,158
298,to confine,,,159
299,to circulate,,,160
300,social orbit,,,160
301,appliance,,,160
302,a restaurateur,,,161
303,subtle,,,161
304,fest,,,161
305,to bear on,,,162
306,intimately,,,162
307,to bat,,,162
308,to precede,,,163
309,grenade,,,163
310,offbeat,,,163
311,an alley garage,,,164
312,greasy,,,164
313,clientele,,,164
314,cut-rate,,,164
315,bookful,,,166
316,to despise,,,166
317,to plunge,,,167
318,inflection,,,167
319,to grunt,,,167
320,to moan,,,167
321,to groan,,,167
322,uncanny,,,167
323,to spot,,,167
324,linkage,,,168
325,a sophomore,,,168
326,to enroll in,,,168
327,pahetically,,,169
328,aisle,,,169
329,to doze off,,,169
330,farce,,,169
331,payroll,,,170
332, to pitch in,,,170
333,to dig into smth,,,171
334,odds,,,171
335,bumblebee,,,171
336,nonnecessity,,,171
337,to close out,,,172
338,to familiarize,,,173
339,pasted-on,,,174
340,rubbery,,,174
341,gleep,,,174
342,uptake,,,174
343,a sermon,,,174
344,vigor,,,174
345,digestion,,,175
346,to misle,,,175
347,to pass on,,,175
348,stride,,,175
349,favorably,,,175
350,to pass along,,,176
351,overly,,,176
352,maxim,,,177
353,to ponder on,,,177
354,hunger,,,177
355,predicament,,,178
356,ivory-tower,,,178
357,blunder,,,179
358,a grump,,,179
359,a curb,,,179
360,courtesy,,,179
361,fiftyish,,,180
362,lo and behold,,,181
363,deep-down,,,181
364,to be slated for,,,181
365,praise,,,181
366,shrewd,,,182
367,to hog,,,182
368,to convey,,,183
369,resentment,,,183
370,wholehearted,,,183
371,to squander,,,183
372,to level with smb,,,184
373,to trot off,,,184
374,to cap off,,,184
375,preacher,,,186
376,backward,,,186
377,to harvest,,,186
378,gas-up,,,186
379,windshield,,,187
380,an attendant,,,187
381,dusty,,,187
382,netting,,,188
383,gall,,,188
384,to justify,,,188
385,breed,,,189
386,bandwagon,,,189
387,chisel,,,189
388,tipper,,,190
389,a smudge,,,190
390,to set off,,,191
391,a hurdle,,,192
392,lukewarm,,,193
393,to pull up,,,194
394,notch,,,194
395,outgoing,,,194
396,strain,,,195
397,to ruffle,,,195
398,scratchy,,,195
399,grievance,,,195
400,a bribe,,,196
401,to hasten,,,196
402,booze,,,197
403,a contempt,,,197
404,consecutive,,,198
405,urbane,,,198
406,timid,,,199
407,to heck with smth,,,200
408,to be tuned to,,,202
409, rushing to,,,203
410,to itemize,,,203
411,to backfire,,,203
412,numbskull,,,207
413,smooth-sounding,,,207
414,out-of-town,,,207
415,hog,,,209
416,to sulk,,,210
417,a huff,,,210
418,to berate,,,210
419,a setback,,,211
420,to follow through,,,212
421,to put off,,,212
422,in the nick of time,,,212
423,stipulation,,,215
424, to eliminate,,,216
425,to reap,,,216
426,a hitch,,,216
427,unpretensious,,,217
428,to encumber,,,217
429,to ignite,,,218
430,confinement,,,218
431,to cut loose,,,219
432,detour,,,219
433,a blunder,,,220
434,a graveyard,,,220
435,to shun,,,220
436,to haunt,,,221
437,a hunch,,,221
438,newscaster,,,221
439,to perspire,,,222
440,to doodle,,,223
441,to master,,,225
442,deliberation,,,225
443,to dispense,,,225
444,stacking,,,225
445,ultrafancy,,,226
446,soundproof,,,226
447,to cramp,,,227
448,to roam,,,227
449,bushel,,,227
450,to push through,,,229
451,bracket,,,229
452,bull,,,229
453,to crusade,,,230
454,stand-still,,,231
455,beaver,,,232
456,to buck ,,,232
457,sideline,,,233
458,to hold off,,,233
459,to cure,,,234
460,to seize,,,234
461,skid,,,235
462,gutters,,,235
463,whipped,,,235
464,outcast,,,235
465,to plod along,,,236
466,slum,,,236
467,to knock down,,,236
468,con,,,237
469,to pound,,,237
470,setback,,,237
471,to probe,,,238
472,to salvage smth from,,,239
473,belligerent,,,239
474,rigid,,,240
475,avenues,,,240
476,blasted,,,240
477,to snip at,,,240
478,sore,,,241
479,flunking,,,241
480,a fracture,,,241
481,to appraise,,,241
482,to be licked,,,242
483,to coodle smb,,,244
484,to fall back,,,244
485,perennial,,,245
486,literary,,,246
487,to imply,,,246
488,to slip after smth,,,247
489,to drill,,,247
490,bulldog,,,247
491,magnetic,,,248
492,to back off,,,249
493,water hose,,,249
494,a snag,,,249
495,disguise,,,250
496,baby moon,,,252
497,hazy,,,252
498,to gauge,,,253
499,careerwise,,,254
500,jarred,,,254
501,merit,,,254
502,dubious,,,256
503,pedigree,,,256
504,to stuck up,,,256
505,a blueprint,,,256
506,dimestores,,,257
507,sheer,,,257
508,heck,,,258
509,parental,,,259
510,zip,,,260
511,an ailment,,,260
512,entrenched,,,260
513,hence,,,261
514,vague,,,261
515,to flounder,,,261
516,rutty,,,261
517,to unleash,,,261
518,to bog down,,,262
519,longevity,,,262
520,heredity,,,262
521,to pitch,,,262
522,grump,,,263
523,to stave off,,,264
524,,,,
525,,,,
526,,,,
527,,,,
528,,,,
529,,,,
530,,,,
531,,,,
532,,,,
533,,,,
534,,,,
535,,,,
536,,,,
537,,,,
538,,,,
539,,,,
540,,,,
541,,,,
542,,,,
543,,,,
544,,,,
545,,,,
546,,,,
547,,,,
548,,,,
549,,,,
550,,,,
551,,,,
552,,,,
553,,,,
554,,,,
555,,,,
556,,,,
557,,,,
558,,,,
559,,,,
560,,,,
561,,,,
562,,,,
563,,,,
564,,,,
565,,,,
566,,,,
567,,,,
568,,,,
569,,,,
570,,,,
571,,,,
572,,,,
573,,,,
574,,,,
575,,,,
576,,,,
577,,,,
578,,,,
579,,,,
580,,,,
581,,,,
582,,,,
583,,,,
584,,,,
585,,,,
586,,,,
587,,,,
588,,,,
589,,,,
590,,,,
591,,,,
592,,,,
593,,,,
594,,,,
595,,,,
596,,,,
